description,category,amount,timestamp
Train ticket,Travel,104.44,2024-03-22 18:10:56
Amazon,,150.43,2022-07-27 04:12:50
Airbnb stay,Food,119.4,2023-11-02 03:39:47
Subscription,Health,133.52,2023-04-18 03:44:41
Car repair,Food,8.76,2024-10-12 07:54:33
Train ticket,Travel,135.92,2022-07-15 19:53:35
Gym membership,Travel,71.29,2023-12-08 05:38:55
Gym membership,Shopping,123.96,2024-08-13 05:00:39
Online course,Fitness,238.08,2023-02-18 14:48:42
Online course,Travel,197.41,2023-04-11 12:41:50
Clothing purchase,Entertainment,100.97,2024-04-03 15:58:25
Clothing purchase,Shopping,108.08,2025-01-18 10:12:13
Pharmacy purchase,Shopping,188.64,2023-05-14 11:36:27
Subscription,Shopping,299.36,2022-10-20 19:57:12
Concert ticket,Food,120.34,2022-08-03 04:27:38
Coffee,Transportation,282.76,2024-02-01 15:58:44
Substack sub,Shopping,96.65,2024-09-27 00:08:57
Concert ticket,Health,35.63,2024-02-19 02:10:28
Electricity bill,Utilities,229.46,2024-08-22 20:28:49
Amazon,,6.15,2023-08-27 21:31:03
Pharmacy purchase,Entertainment,218.98,2022-05-06 19:16:56
Electricity bill,Health,243.18,2023-12-19 06:15:18
Airbnb stay,Fitness,53.49,2023-09-07 21:40:25
Clothing purchase,Food,14.2,2023-11-04 17:00:50
Flight ticket,Fitness,70.01,2024-10-18 04:00:47
Online course,Health,214.87,2022-08-11 01:44:06
Groceries,Shopping,182.58,2023-02-04 08:33:58
Online course,Transportation,275.36,2023-10-25 08:23:43
Gas @ Chevron,Entertainment,232.47,2023-07-11 15:09:53
Clothing purchase,Transportation,54.4,2024-11-10 10:02:01
Subscription,Health,71.49,2023-02-21 12:30:51
Online course,Entertainment,70.91,2024-04-30 08:54:59
Pharmacy purchase,Entertainment,184.52,2023-03-02 09:37:30
Movie ticket,Fitness,140.14,2023-10-06 04:34:08
Uber ride,Travel,96.73,2024-08-03 15:17:38
Train ticket,Utilities,219.99,2023-05-03 10:41:35
Electricity bill,Health,69.89,2024-04-27 01:29:46
Electricity bill,Food,78.87,2024-03-19 03:37:35
Gym membership,Food,195.56,2023-04-20 13:42:45
Gym membership,Transportation,179.98,2022-07-03 08:30:19
Flight ticket,Health,22.6,2024-10-02 17:40:49
Dinner at restaurant,Entertainment,274.09,2024-08-28 23:20:56
Train ticket,Travel,27.07,2023-01-21 23:20:10
Dinner at restaurant,Travel,193.92,2025-02-25 19:05:34
Online course,Fitness,292.65,2022-12-06 13:36:08
Train ticket,Fitness,126.22,2023-05-28 08:26:36
Concert ticket,Utilities,229.11,2023-03-15 12:27:29
Train ticket,Entertainment,24.62,2023-10-10 23:52:13
Amazon,,49.15,2023-01-28 06:39:49
Coffee,Food,174.26,2024-11-02 18:48:54
Movie ticket,Fitness,38.95,2024-04-27 21:51:46
Amazon,,55.12,2024-02-18 17:55:31
Online course,Utilities,182.5,2022-09-12 05:07:00
Uber ride,Fitness,100.8,2024-07-25 04:11:28
Electricity bill,Fitness,84.74,2022-05-03 14:40:41
Clothing purchase,Shopping,88.2,2024-05-25 21:19:58
Uber ride,Entertainment,3.78,2025-01-22 22:10:26
Online course,Health,258.29,2024-06-07 02:13:44
Concert ticket,Fitness,259.36,2024-12-06 21:03:31
Clothing purchase,Utilities,194.2,2022-08-03 14:22:21
Uber ride,Health,57.18,2024-10-14 03:01:14
Concert ticket,Shopping,202.59,2023-09-02 10:19:32
Online course,Utilities,33.58,2023-10-19 02:05:57
Electricity bill,Health,90.69,2024-05-11 10:12:03
Train ticket,Food,202.64,2024-08-12 06:49:41
Groceries,Transportation,30.69,2022-10-14 06:18:02
Flight ticket,Health,149.77,2023-07-25 16:42:29
Substack sub,Travel,60.35,2023-09-11 15:50:54
Concert ticket,Food,233.88,2024-12-22 00:07:47
Train ticket,Food,88.51,2024-09-09 22:21:53
Pharmacy purchase,Health,99.11,2024-09-18 16:20:18
Car repair,Travel,289.26,2024-06-08 18:37:21
Movie ticket,Travel,19.82,2023-03-13 16:12:10
Subscription,Health,177.18,2024-10-13 04:55:58
Airbnb stay,Travel,56.29,2023-07-14 05:23:48
Uber ride,Utilities,220.84,2023-01-02 06:35:57
Gym membership,Fitness,76.32,2022-12-17 09:05:27
Clothing purchase,Shopping,286.72,2022-07-12 19:50:27
Dinner at restaurant,Food,269.9,2023-09-30 06:08:35
Pharmacy purchase,Travel,225.62,2023-01-11 20:20:48
Uber ride,Fitness,140.1,2022-06-02 09:58:07
Groceries,Food,170.14,2024-04-05 08:40:29
Pharmacy purchase,Utilities,43.47,2023-07-26 12:00:08
Gas @ Chevron,Health,206.46,2023-11-15 21:26:48
Dinner at restaurant,Health,108.49,2024-11-25 23:35:10
Clothing purchase,Fitness,135.51,2023-09-26 08:38:56
Gym membership,Entertainment,59.55,2022-05-02 00:45:39
Electricity bill,Utilities,276.04,2024-05-04 20:19:37
Pharmacy purchase,Entertainment,206.4,2025-03-07 02:55:45
Amazon,,161.86,2024-08-01 23:19:56
Clothing purchase,Utilities,85.94,2024-12-31 01:10:33
Gas @ Chevron,Travel,161.27,2024-05-15 19:02:35
Dinner at restaurant,Health,33.28,2024-05-20 18:19:27
Gas @ Chevron,Transportation,81.33,2023-11-05 05:03:33
Movie ticket,Fitness,155.42,2025-03-21 01:27:25
Subscription,Utilities,112.59,2024-03-04 21:59:58
Clothing purchase,Fitness,282.16,2023-12-27 19:13:38
Substack sub,Transportation,50.58,2024-03-29 21:43:14
Subscription,Travel,118.49,2023-08-05 21:02:50
Gas @ Chevron,Utilities,119.59,2022-05-12 22:16:40
Pharmacy purchase,Travel,271.97,2024-02-14 17:01:51
Groceries,Fitness,154.54,2024-10-22 04:52:26
Online course,Fitness,251.14,2022-08-24 11:42:14
Pharmacy purchase,Transportation,164.79,2025-03-08 13:49:11
Car repair,Travel,43.43,2022-04-24 03:27:18
Substack sub,Health,191.7,2025-03-24 16:10:58
Groceries,Utilities,263.18,2024-05-02 07:44:33
Train ticket,Entertainment,37.43,2024-09-12 19:14:03
Pharmacy purchase,Transportation,212.45,2022-05-01 10:45:23
Substack sub,Travel,37.5,2023-09-11 05:49:54
Substack sub,Transportation,12.12,2023-06-02 13:31:01
Movie ticket,Entertainment,103.51,2024-07-20 07:24:42
Dinner at restaurant,Food,215.12,2022-07-18 20:16:04
Coffee,Utilities,180.56,2024-02-24 05:22:31
Groceries,Health,153.35,2024-05-29 19:39:06
Dinner at restaurant,Fitness,266.44,2024-01-28 14:07:33
Movie ticket,Fitness,54.96,2024-09-11 19:09:55
Pharmacy purchase,Entertainment,247.31,2025-03-30 02:52:42
Airbnb stay,Food,255.98,2023-11-16 09:20:15
Movie ticket,Entertainment,227.53,2022-11-13 00:01:45
Uber ride,Entertainment,212.61,2023-11-04 18:44:43
Train ticket,Transportation,80.28,2025-02-26 09:33:49
Airbnb stay,Utilities,283.51,2022-05-31 01:35:15
Flight ticket,Travel,85.95,2022-05-21 21:39:37
Pharmacy purchase,Shopping,248.42,2024-02-25 02:03:29
Uber ride,Food,72.18,2025-02-17 05:14:54
Coffee,Entertainment,106.06,2023-02-09 02:40:38
Concert ticket,Transportation,208.75,2024-12-16 07:03:12
Train ticket,Utilities,210.43,2022-07-20 06:08:52
Train ticket,Health,270.32,2022-09-13 20:37:06
Gym membership,Travel,134.49,2023-10-28 01:54:55
Clothing purchase,Food,5.75,2023-01-07 04:18:13
Gym membership,Travel,186.22,2022-09-25 13:13:51
Clothing purchase,Travel,207.16,2022-05-13 01:09:51
Concert ticket,Food,51.32,2024-06-10 23:39:12
Subscription,Shopping,75.81,2024-06-14 18:07:19
Groceries,Entertainment,122.87,2023-08-21 18:20:22
Airbnb stay,Travel,185.89,2022-05-20 02:46:12
Uber ride,Health,111.0,2025-01-05 01:25:56
Pharmacy purchase,Fitness,41.66,2025-03-09 23:05:07
Amazon,,95.25,2023-07-10 09:53:22
Airbnb stay,Transportation,13.26,2022-09-21 14:00:05
Flight ticket,Fitness,202.55,2024-02-03 11:57:53
Uber ride,Food,291.54,2023-04-17 06:02:34
Gas @ Chevron,Fitness,15.13,2025-01-14 20:48:37
Coffee,Travel,260.91,2024-06-11 06:01:07
Amazon,,184.95,2023-09-03 10:59:11
Pharmacy purchase,Shopping,112.58,2024-08-14 23:04:28
Pharmacy purchase,Fitness,113.59,2022-05-13 12:42:33
Movie ticket,Health,80.47,2024-03-11 12:25:47
Uber ride,Entertainment,88.13,2022-12-17 11:52:49
Car repair,Fitness,298.6,2024-03-27 13:03:46
Flight ticket,Food,21.2,2023-05-02 07:23:03
Coffee,Entertainment,105.42,2022-07-31 20:50:05
Clothing purchase,Transportation,194.42,2022-05-23 22:48:57
Car repair,Health,213.81,2025-03-11 16:18:39
Clothing purchase,Utilities,158.07,2023-04-20 01:13:14
Car repair,Food,6.79,2023-01-08 21:22:59
Clothing purchase,Shopping,162.31,2023-07-02 08:23:02
Train ticket,Entertainment,196.34,2023-05-10 20:02:26
Gas @ Chevron,Transportation,107.3,2023-04-01 18:53:56
Electricity bill,Entertainment,51.84,2022-05-29 09:38:37
Online course,Food,193.74,2023-11-19 21:56:59
Gas @ Chevron,Fitness,89.98,2024-05-11 16:52:52
Subscription,Transportation,227.88,2025-01-30 15:22:17
Gym membership,Fitness,264.83,2024-08-11 05:54:55
Clothing purchase,Travel,214.96,2024-09-03 09:24:12
Movie ticket,Food,238.58,2024-10-07 04:40:35
Pharmacy purchase,Food,97.77,2025-01-14 02:34:16
Uber ride,Health,286.53,2023-05-25 01:11:42
Concert ticket,Fitness,271.08,2023-05-25 18:27:10
Car repair,Shopping,229.36,2023-05-28 17:00:33
Dinner at restaurant,Fitness,252.56,2024-06-15 07:05:16
Gas @ Chevron,Shopping,244.13,2023-09-19 21:59:34
Uber ride,Fitness,267.89,2022-11-28 03:52:24
Train ticket,Fitness,195.16,2023-02-09 01:39:37
Groceries,Transportation,190.02,2022-12-31 15:03:03
Pharmacy purchase,Entertainment,190.27,2024-05-07 13:17:17
Electricity bill,Health,42.58,2022-10-30 12:18:00
Gym membership,Utilities,171.14,2024-11-22 04:52:40
Substack sub,Transportation,298.41,2023-03-06 11:26:52
Amazon,,278.63,2022-07-01 07:51:23
Electricity bill,Fitness,217.53,2023-12-17 01:50:58
Concert ticket,Transportation,32.5,2023-03-12 08:48:45
Substack sub,Food,114.55,2023-03-04 01:01:53
Concert ticket,Travel,73.76,2022-04-16 08:04:18
Car repair,Fitness,102.95,2023-09-20 11:31:49
Pharmacy purchase,Health,109.92,2022-07-28 23:45:20
Amazon,,234.69,2023-02-17 03:21:42
Movie ticket,Shopping,70.13,2024-07-15 20:51:17
Clothing purchase,Utilities,251.29,2023-07-18 17:57:16
Substack sub,Travel,39.87,2023-12-06 03:21:08
Train ticket,Travel,227.07,2023-01-17 18:40:59
Clothing purchase,Travel,232.66,2024-08-16 01:08:02
Coffee,Health,246.44,2025-04-03 00:47:45
Groceries,Utilities,70.63,2023-02-09 14:24:04
Dinner at restaurant,Shopping,59.56,2024-11-08 07:26:40
Substack sub,Utilities,29.48,2024-10-15 23:15:54
Flight ticket,Transportation,25.92,2022-06-18 18:23:17
Flight ticket,Travel,158.36,2022-08-18 18:08:36
Dinner at restaurant,Utilities,232.43,2024-03-07 03:58:50
Movie ticket,Travel,37.11,2024-12-08 19:32:46
Gym membership,Utilities,43.04,2022-05-06 16:32:08
Flight ticket,Food,76.82,2024-06-26 04:33:04
Substack sub,Fitness,242.12,2022-09-27 01:07:56
Car repair,Travel,242.29,2024-05-25 17:24:24
Groceries,Fitness,284.85,2023-05-29 11:28:56
Clothing purchase,Health,114.21,2023-06-20 18:20:30
Clothing purchase,Shopping,254.12,2022-09-29 21:00:30
Flight ticket,Health,24.5,2024-12-15 18:01:58
Online course,Utilities,35.81,2023-03-03 07:01:37
Movie ticket,Transportation,150.63,2024-12-13 06:24:06
Car repair,Transportation,68.75,2022-05-16 01:04:02
Train ticket,Shopping,284.19,2024-07-28 13:04:11
Flight ticket,Entertainment,246.73,2023-07-06 13:16:38
Flight ticket,Travel,52.35,2023-10-12 03:32:50
Car repair,Utilities,105.89,2024-03-01 02:17:46
Movie ticket,Entertainment,177.97,2023-12-02 08:30:46
Flight ticket,Utilities,5.91,2023-03-26 07:38:58
Car repair,Utilities,148.36,2023-10-11 15:47:44
Substack sub,Food,32.65,2024-06-08 18:04:13
Clothing purchase,Transportation,274.79,2024-02-27 13:54:08
Concert ticket,Food,259.99,2023-03-12 20:12:02
Online course,Health,239.75,2025-02-09 03:51:23
Gym membership,Entertainment,226.67,2023-06-13 02:36:39
Uber ride,Shopping,124.97,2023-09-13 10:18:42
Train ticket,Transportation,105.99,2024-06-10 17:17:30
Subscription,Entertainment,250.83,2022-11-02 03:42:27
Airbnb stay,Transportation,27.5,2023-05-24 06:39:34
Flight ticket,Health,142.86,2022-10-30 18:32:26
Movie ticket,Food,143.25,2022-06-11 23:14:02
Concert ticket,Utilities,188.83,2024-07-13 09:21:11
Car repair,Shopping,155.22,2022-06-13 21:26:59
Electricity bill,Health,157.09,2023-05-23 01:26:33
Online course,Health,23.21,2022-07-17 17:49:24
Pharmacy purchase,Shopping,284.61,2023-12-06 10:20:10
Coffee,Fitness,39.13,2022-10-24 15:16:24
Dinner at restaurant,Transportation,68.95,2023-12-19 18:45:23
Groceries,Fitness,37.14,2022-09-24 21:33:55
Car repair,Health,108.69,2025-04-02 07:27:20
Train ticket,Travel,25.68,2024-03-09 16:17:17
Groceries,Shopping,125.68,2024-09-28 12:26:49
Gym membership,Health,180.22,2023-06-24 04:05:01
Concert ticket,Health,56.73,2024-10-03 19:22:41
Uber ride,Travel,137.95,2023-12-02 16:47:41
Amazon,,95.33,2025-01-23 00:05:32
Gym membership,Utilities,264.4,2023-02-15 15:39:08
Airbnb stay,Entertainment,271.04,2022-08-16 12:53:47
Coffee,Utilities,93.74,2024-06-19 22:16:25
Clothing purchase,Shopping,274.81,2023-05-09 15:29:18
Groceries,Entertainment,142.67,2023-12-30 13:47:01
Clothing purchase,Health,149.16,2023-06-02 05:07:29
Train ticket,Health,265.71,2024-04-28 01:19:24
Electricity bill,Transportation,177.56,2023-06-13 02:16:02
Electricity bill,Shopping,154.88,2022-04-23 17:49:51
Uber ride,Shopping,112.84,2024-07-16 06:46:28
Pharmacy purchase,Travel,47.72,2022-12-21 08:01:22
Groceries,Shopping,52.16,2024-10-21 04:48:07
Subscription,Entertainment,214.65,2025-02-05 18:32:36
Electricity bill,Transportation,294.87,2024-05-19 22:41:55
Dinner at restaurant,Utilities,114.43,2023-01-03 01:56:27
Pharmacy purchase,Entertainment,148.98,2023-09-17 21:36:03
Train ticket,Travel,135.64,2024-04-30 06:00:12
Movie ticket,Utilities,227.23,2023-07-17 13:25:53
Groceries,Utilities,229.94,2025-03-12 22:57:33
Gym membership,Entertainment,267.92,2023-05-12 09:28:45
Dinner at restaurant,Entertainment,134.43,2024-11-06 13:27:05
Gym membership,Travel,129.43,2023-03-13 14:13:44
Movie ticket,Health,100.43,2023-07-15 02:43:53
Car repair,Utilities,205.33,2024-04-01 04:36:43
Uber ride,Shopping,155.56,2025-02-04 14:29:22
Movie ticket,Travel,93.95,2022-05-29 03:13:35
Movie ticket,Food,47.18,2022-12-13 01:09:28
Substack sub,Shopping,43.15,2024-04-20 15:03:25
Subscription,Transportation,8.09,2024-10-12 13:05:30
Amazon,,217.77,2023-09-02 05:34:27
Flight ticket,Food,217.01,2022-12-13 07:07:24
Amazon,,203.77,2024-05-14 02:40:14
Train ticket,Entertainment,54.86,2022-06-08 04:48:52
Electricity bill,Shopping,173.7,2024-12-07 09:59:49
Movie ticket,Shopping,258.18,2023-03-09 00:04:07
Train ticket,Food,145.67,2022-09-03 08:48:45
Amazon,,100.21,2022-07-16 08:41:08
Flight ticket,Entertainment,110.04,2022-06-29 04:42:42
Amazon,,59.52,2024-04-27 15:37:59
Flight ticket,Entertainment,175.2,2022-09-22 05:28:05
Groceries,Utilities,116.71,2024-11-18 03:51:14
Electricity bill,Transportation,124.49,2022-09-08 00:58:50
Concert ticket,Shopping,292.32,2024-08-14 19:13:06
Train ticket,Health,152.45,2023-05-25 21:41:05
Amazon,,36.66,2023-12-23 10:11:37
Dinner at restaurant,Fitness,84.23,2024-03-29 11:15:31
Movie ticket,Travel,127.48,2025-01-02 02:50:07
Gym membership,Shopping,271.52,2022-09-07 20:56:24
Gym membership,Utilities,239.12,2022-06-09 14:34:09
Train ticket,Entertainment,236.74,2025-02-19 11:17:03
Clothing purchase,Utilities,143.33,2024-10-10 04:35:38
Subscription,Food,123.83,2023-03-10 01:05:17
Pharmacy purchase,Transportation,294.84,2022-08-10 21:30:56
Clothing purchase,Utilities,205.02,2022-10-22 08:47:36
Dinner at restaurant,Shopping,26.72,2024-05-25 12:33:48
Uber ride,Travel,95.39,2025-01-20 19:32:57
Pharmacy purchase,Entertainment,194.78,2024-12-16 04:17:54
Gym membership,Health,284.84,2025-02-01 03:28:29
Substack sub,Health,25.52,2023-11-28 23:15:37
Gas @ Chevron,Transportation,3.9,2024-01-10 07:22:56
Online course,Transportation,260.49,2024-04-05 07:26:14
Gym membership,Shopping,237.19,2023-09-24 04:45:41
Concert ticket,Food,88.63,2024-01-06 20:05:01
Airbnb stay,Transportation,216.21,2023-11-15 08:56:38
Train ticket,Transportation,9.19,2025-01-14 06:53:20
Movie ticket,Food,193.47,2024-01-28 11:29:27
Gas @ Chevron,Fitness,255.22,2023-08-19 22:21:24
Gym membership,Health,131.19,2022-05-01 21:16:55
Pharmacy purchase,Health,297.34,2022-05-07 23:18:48
Airbnb stay,Food,208.32,2023-07-05 22:55:42
Online course,Food,170.87,2024-07-18 08:15:04
Gym membership,Shopping,193.42,2024-04-12 17:22:22
Dinner at restaurant,Fitness,29.49,2024-11-01 11:05:55
Dinner at restaurant,Utilities,237.11,2023-12-09 12:12:31
Electricity bill,Transportation,226.25,2023-10-05 19:46:47
Clothing purchase,Travel,279.3,2025-03-28 11:20:27
Movie ticket,Food,256.19,2025-02-12 22:37:46
Online course,Transportation,96.33,2025-01-17 10:43:36
Dinner at restaurant,Transportation,8.51,2025-02-25 14:19:28
Electricity bill,Transportation,83.66,2024-12-27 15:17:22
Flight ticket,Shopping,165.3,2023-07-19 19:59:02
Electricity bill,Food,127.77,2023-01-13 05:47:53
Gym membership,Shopping,26.89,2024-10-11 11:09:11
Substack sub,Entertainment,33.36,2023-11-30 17:55:57
Dinner at restaurant,Entertainment,113.99,2023-09-09 21:30:20
Gym membership,Fitness,72.17,2023-04-16 16:06:23
Flight ticket,Shopping,275.12,2025-04-04 18:48:18
Substack sub,Travel,163.48,2022-09-04 22:10:39
Coffee,Transportation,40.99,2023-06-02 04:16:15
Airbnb stay,Fitness,120.89,2022-07-03 20:11:58
Dinner at restaurant,Food,287.16,2023-08-06 13:16:39
Electricity bill,Transportation,289.02,2022-12-20 02:54:43
Amazon,,103.64,2024-06-15 12:41:33
Airbnb stay,Utilities,25.3,2025-03-02 10:41:03
Clothing purchase,Entertainment,159.87,2025-03-28 22:45:49
Pharmacy purchase,Health,254.34,2024-04-18 02:10:49
Movie ticket,Food,187.96,2023-08-28 19:45:59
Gym membership,Utilities,55.28,2024-04-15 11:40:00
Flight ticket,Utilities,40.76,2024-08-18 07:48:48
Airbnb stay,Travel,99.49,2022-08-18 10:35:30
Airbnb stay,Food,30.72,2024-03-22 20:12:11
Subscription,Shopping,228.16,2023-03-18 18:59:03
Airbnb stay,Fitness,273.24,2024-08-16 10:07:51
Movie ticket,Entertainment,267.5,2022-07-06 06:10:25
Coffee,Transportation,267.95,2025-01-28 18:48:51
Uber ride,Fitness,298.24,2022-06-28 12:21:42
Online course,Transportation,290.34,2025-02-19 23:09:16
Electricity bill,Transportation,113.07,2024-10-26 07:18:13
Amazon,,100.4,2024-09-24 06:31:38
Amazon,,6.75,2023-09-11 20:24:25
Airbnb stay,Shopping,117.58,2023-09-26 13:42:08
Uber ride,Entertainment,142.58,2023-12-04 11:37:29
Electricity bill,Travel,81.58,2022-11-04 15:13:27
Gas @ Chevron,Food,244.15,2024-12-18 20:49:52
Online course,Utilities,24.83,2024-03-09 07:07:27
Gas @ Chevron,Health,204.78,2024-09-07 11:08:06
Subscription,Transportation,33.98,2023-10-15 05:51:46
Groceries,Travel,87.15,2023-12-01 07:58:33
Coffee,Travel,140.94,2023-08-28 19:12:39
Train ticket,Fitness,201.54,2023-09-17 09:39:09
Electricity bill,Fitness,143.27,2024-10-29 05:37:53
Groceries,Transportation,280.56,2025-04-09 11:02:29
Substack sub,Health,88.61,2023-01-27 01:48:18
Online course,Shopping,132.81,2023-12-17 12:09:42
Clothing purchase,Utilities,189.69,2025-02-02 22:03:50
Concert ticket,Food,268.09,2024-06-17 03:57:54
Amazon,,254.72,2025-02-28 22:34:33
Concert ticket,Shopping,222.54,2023-12-25 00:13:27
Movie ticket,Travel,50.21,2024-10-19 07:10:23
Flight ticket,Utilities,60.72,2022-12-04 10:37:34
Concert ticket,Food,83.87,2024-07-31 14:35:50
Concert ticket,Transportation,240.61,2022-05-19 00:57:26
Amazon,,261.17,2022-12-04 21:34:23
Coffee,Utilities,13.09,2023-02-24 05:05:56
Concert ticket,Shopping,95.1,2024-08-10 02:33:39
Dinner at restaurant,Fitness,156.36,2023-09-14 01:50:10
Subscription,Utilities,94.27,2024-07-17 18:49:26
Subscription,Health,109.81,2025-02-24 08:52:13
Flight ticket,Fitness,103.09,2023-04-05 03:16:51
Coffee,Entertainment,219.47,2025-04-11 12:38:46
Online course,Fitness,84.88,2022-05-09 09:40:18
Uber ride,Utilities,22.15,2022-07-29 11:19:49
Gas @ Chevron,Travel,265.23,2023-10-05 10:54:58
Flight ticket,Utilities,191.89,2025-01-04 19:04:13
Train ticket,Health,84.1,2022-04-17 19:15:37
Subscription,Shopping,149.96,2023-07-17 21:28:18
Train ticket,Travel,210.23,2023-06-11 12:07:12
Car repair,Entertainment,226.89,2022-07-12 10:59:47
Concert ticket,Transportation,76.41,2024-08-06 20:16:04
Gas @ Chevron,Food,141.06,2024-06-14 12:18:50
Car repair,Health,297.5,2025-01-16 03:00:57
Train ticket,Shopping,30.25,2025-03-24 04:20:10
Flight ticket,Transportation,97.82,2023-03-01 18:06:57
Subscription,Fitness,25.65,2022-05-20 16:51:32
Car repair,Utilities,281.02,2024-12-20 13:04:11
Amazon,,137.92,2023-08-25 04:10:52
Amazon,,266.45,2024-12-06 18:51:48
Movie ticket,Fitness,187.97,2024-06-10 14:18:02
Electricity bill,Health,208.45,2023-05-29 06:36:35
Substack sub,Transportation,17.93,2024-06-13 15:37:56
Gas @ Chevron,Utilities,121.25,2023-07-24 20:30:20
Movie ticket,Fitness,240.22,2022-09-02 04:14:49
Pharmacy purchase,Utilities,137.98,2022-09-28 19:56:48
Airbnb stay,Transportation,92.87,2024-03-03 16:00:41
Dinner at restaurant,Health,288.79,2022-09-15 06:41:22
Subscription,Transportation,88.91,2023-11-06 11:05:03
Flight ticket,Travel,173.26,2025-02-06 16:12:45
Gym membership,Fitness,127.74,2024-10-19 03:07:10
Electricity bill,Utilities,269.55,2024-04-28 20:08:19
Uber ride,Entertainment,268.67,2023-03-04 19:42:25
Flight ticket,Transportation,210.9,2024-12-07 23:55:29
Electricity bill,Transportation,44.63,2024-06-10 13:41:51
Electricity bill,Shopping,223.0,2024-10-09 11:07:47
Coffee,Food,59.8,2022-05-31 14:39:53
Gas @ Chevron,Entertainment,29.15,2024-12-07 22:19:38
Groceries,Shopping,240.09,2024-09-06 21:27:43
Pharmacy purchase,Food,299.67,2022-07-03 17:50:09
Coffee,Transportation,248.74,2024-10-12 01:02:07
Airbnb stay,Entertainment,269.43,2024-04-05 08:11:51
Flight ticket,Entertainment,70.83,2024-08-02 06:32:28
Clothing purchase,Transportation,39.56,2023-12-31 02:23:55
Subscription,Entertainment,35.24,2022-04-18 21:45:06
Gas @ Chevron,Travel,53.79,2023-03-02 04:09:47
Clothing purchase,Transportation,173.52,2023-03-03 22:56:09
Gas @ Chevron,Fitness,26.26,2023-02-13 05:11:20
Gym membership,Transportation,43.05,2024-08-15 17:55:27
Groceries,Food,270.19,2025-01-25 08:29:05
Gym membership,Shopping,101.4,2024-12-19 12:43:08
Gym membership,Food,81.17,2022-08-04 20:36:23
Amazon,,137.64,2024-11-04 10:55:35
Dinner at restaurant,Food,165.17,2025-02-18 03:23:26
Dinner at restaurant,Transportation,86.11,2025-03-08 19:31:58
Gym membership,Utilities,132.33,2024-07-01 21:35:03
Airbnb stay,Food,186.86,2022-12-04 08:25:08
Movie ticket,Entertainment,124.32,2022-08-07 14:10:07
Train ticket,Travel,291.24,2022-12-11 15:02:17
Movie ticket,Travel,75.23,2022-12-19 07:29:33
Online course,Travel,271.56,2024-09-21 06:25:44
Uber ride,Transportation,211.36,2024-02-19 21:45:56
Uber ride,Entertainment,14.58,2024-05-28 06:52:32
Dinner at restaurant,Food,48.73,2024-04-12 13:29:07
Movie ticket,Utilities,73.09,2024-09-03 12:47:46
Airbnb stay,Utilities,252.62,2025-03-22 03:37:06
Dinner at restaurant,Food,258.48,2022-06-23 12:05:53
Online course,Utilities,239.35,2022-06-06 06:45:43
Dinner at restaurant,Transportation,211.29,2025-02-22 00:45:44
Dinner at restaurant,Shopping,217.54,2025-03-19 16:13:07
Clothing purchase,Travel,258.35,2022-11-11 21:43:39
Amazon,,97.52,2023-02-14 19:29:34
Movie ticket,Shopping,174.64,2023-11-13 16:06:05
Airbnb stay,Entertainment,131.35,2025-01-21 11:56:59
Pharmacy purchase,Travel,124.43,2023-12-19 09:41:03
Train ticket,Shopping,9.36,2023-12-31 12:28:05
Subscription,Food,120.93,2022-12-15 05:54:29
Clothing purchase,Utilities,63.6,2023-06-03 10:01:10
Flight ticket,Food,101.06,2024-01-17 20:17:42
Gas @ Chevron,Transportation,113.0,2023-08-27 03:41:49
Amazon,,8.83,2024-08-28 15:00:18
Uber ride,Food,83.9,2024-08-22 02:06:42
Uber ride,Fitness,42.35,2022-08-30 11:50:51
Airbnb stay,Health,116.36,2024-05-04 00:06:54
Pharmacy purchase,Shopping,267.01,2023-06-24 08:31:07
Concert ticket,Shopping,156.14,2023-01-11 01:41:11
Clothing purchase,Utilities,102.2,2024-01-04 19:36:50
Dinner at restaurant,Travel,96.13,2024-12-03 13:23:05
Clothing purchase,Utilities,148.63,2025-02-07 08:05:03
Clothing purchase,Health,35.39,2024-05-11 01:45:04
Flight ticket,Transportation,15.22,2024-02-17 12:06:06
Subscription,Travel,66.97,2022-10-20 18:46:01
Flight ticket,Fitness,212.97,2024-02-07 12:23:06
Car repair,Health,106.23,2023-07-04 02:14:48
Groceries,Fitness,30.72,2022-05-22 16:51:15
Coffee,Entertainment,73.22,2023-10-08 00:23:56
Pharmacy purchase,Entertainment,97.41,2022-06-24 12:13:11
Coffee,Transportation,256.79,2024-11-19 16:38:45
Train ticket,Entertainment,204.82,2022-08-17 23:39:52
Uber ride,Food,230.23,2022-08-03 18:31:34
Flight ticket,Fitness,234.07,2023-09-09 08:03:44
Electricity bill,Health,147.94,2023-11-13 03:08:57
Uber ride,Transportation,9.98,2022-11-14 18:48:23
Clothing purchase,Entertainment,67.71,2022-11-10 23:41:59
Substack sub,Fitness,169.56,2025-01-05 17:07:48
Pharmacy purchase,Fitness,156.99,2022-12-13 02:13:03
Uber ride,Shopping,174.93,2024-12-14 13:27:48
Clothing purchase,Entertainment,222.44,2023-07-11 10:58:40
Gas @ Chevron,Utilities,15.48,2023-10-19 12:00:09
Concert ticket,Health,124.96,2023-09-29 16:57:43
Airbnb stay,Health,217.04,2024-08-20 10:16:52
Amazon,,214.38,2024-06-11 06:25:52
Amazon,,13.98,2024-09-13 09:56:00
